iso_code,continent,location,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ECU,South America,Ecuador,2021-02-20,6697,914298,51.821998596191406,0.37999999523162842,3732,0.21199999749660492,0.28999999165534973,3.5,,,,,,1084,,,,61,69.44000244140625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-21,5451,919749,52.131000518798828,0.30899998545646667,3691,0.20900000631809235,0.28799998760223389,3.5,,,,,,1395,,,,79,69.44000244140625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-22,1314,921063,52.205001831054688,7.4000000953674316E-2,3672,0.20800000429153442,0.28299999237060547,3.5,,,,,,1707,,,,97,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-23,2301,923364,52.33599853515625,0.12999999523162842,3716,0.210999995470047,0.29600000381469727,3.4000000953674316,,,,,,2018,,,,114,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-24,8617,931981,52.824001312255859,0.48800000548362732,4830,0.27399998903274536,0.31200000643730164,3.2000000476837158,,24492,20784,3708,,2329,0.14000000059604645,0.11999999731779099,1.9999999552965164E-2,132,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-25,6800,938781,53.209999084472656,0.38499999046325684,5098,0.289000004529953,0.31700000166893005,3.2000000476837158,,,,,,2500,,,,142,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-26,4734,943515,53.478000640869141,0.26800000667572021,5131,0.29100000858306885,0.31499999761581421,3.2000000476837158,,,,,,2670,,,,151,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-27,6431,949946,53.841999053955078,0.36500000953674316,5093,0.289000004529953,0.31600001454353333,3.2000000476837158,,,,,,2841,,,,161,67.589996337890625,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-02-28,6319,956265,54.201000213623047,0.3580000102519989,5217,0.29600000381469727,0.31400001049041748,3.2000000476837158,,,,,,3012,,,,171,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-01,1127,957392,54.264999389648438,6.4000003039836884E-2,5190,0.29399999976158142,0.31400001049041748,3.2000000476837158,,42114,35886,6228,,3183,0.23999999463558197,0.20000000298023224,3.9999999105930328E-2,180,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-02,2062,959454,54.381000518798828,0.11699999868869781,5156,0.29199999570846558,0.30300000309944153,3.2999999523162842,,,,,,3669,,,,208,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-03,9044,968498,54.894001007080078,0.5130000114440918,5217,0.29600000381469727,0.29300001263618469,3.4000000953674316,,,,,,4156,,,,236,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-04,1182,969680,54.96099853515625,6.7000001668930054E-2,4414,0.25,0.27700001001358032,3.5999999046325684,,59316,53088,6228,,4471,0.34000000357627869,0.30000001192092896,3.9999999105930328E-2,253,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-05,4674,974354,55.226001739501953,0.26499998569488525,4406,0.25,0.27500000596046448,3.5999999046325684,,71148,64920,6228,11832,5658,0.40000000596046448,0.37000000476837158,3.9999999105930328E-2,321,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-06,6500,980854,55.594001770019531,0.36800000071525574,4415,0.25,0.27799999713897705,3.5999999046325684,,,,,,5313,,,,301,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-07,4795,985649,55.866001129150391,0.2720000147819519,4198,0.23800000548362732,0.28400000929832458,3.5,,,,,,4968,,,,282,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-08,345,985994,55.886001586914063,1.9999999552965164E-2,4086,0.23199999332427979,0.28799998760223389,3.5,,74472,68244,6228,,4623,0.41999998688697815,0.38999998569488525,3.9999999105930328E-2,262,63.889999389648438,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-09,2151,988145,56.007999420166016,0.12200000137090683,4099,0.23199999332427979,0.29199999570846558,3.4000000953674316,,75258,69030,6228,786,3916,0.43000000715255737,0.38999998569488525,3.9999999105930328E-2,222,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-10,5611,993756,56.326000213623047,0.31799998879432678,3608,0.20399999618530273,0.29199999570846558,3.4000000953674316,,,,,,4572,,,,259,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-11,4152,997908,56.561000823974609,0.23499999940395355,4033,0.22900000214576721,0.29100000858306885,3.4000000953674316,,95915,89687,6228,,5228,0.54000002145767212,0.50999999046325684,3.9999999105930328E-2,296,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-12,4588,1002496,56.820999145507813,0.25999999046325684,4020,0.22800000011920929,0.289000004529953,3.5,,123176,116948,6228,27261,7433,0.69999998807907104,0.6600000262260437,3.9999999105930328E-2,421,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-13,5115,1007611,57.111000061035156,0.28999999165534973,3822,0.21699999272823334,0.289000004529953,3.5,,139359,119222,20137,16183,9586,0.79000002145767212,0.68000000715255737,0.10999999940395355,543,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-14,4866,1012477,57.387001037597656,0.27599999308586121,3833,0.21699999272823334,0.28799998760223389,3.5,,,,,,9559,,,,542,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-15,1043,1013520,57.445999145507813,5.9000000357627869E-2,3932,0.22300000488758087,0.28600001335144043,3.5,,141191,121054,20137,,9531,0.80000001192092896,0.68999999761581421,0.10999999940395355,540,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-16,1776,1015296,57.546001434326172,0.10100000351667404,3879,0.2199999988079071,0.28499999642372131,3.5,,,,,,10318,,,,585,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-17,8671,1023967,58.037998199462891,0.49099999666213989,4316,0.24500000476837158,0.28999999165534973,3.5,,,,,,9742,,,,552,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-18,6044,1030011,58.381000518798828,0.34299999475479126,4586,0.25999999046325684,0.29499998688697815,3.4000000953674316,,,,,,9166,,,,520,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-19,7381,1037392,58.798999786376953,0.41800001263618469,4985,0.28299999237060547,0.29899999499320984,3.2999999523162842,,,,,,6172,,,,350,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-20,3897,1041289,59.020000457763672,0.22100000083446503,4811,0.27300000190734863,0.30300000309944153,3.2999999523162842,,,,,,4759,,,,270,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-21,5744,1047033,59.345001220703125,0.32600000500679016,4937,0.2800000011920929,0.30000001192092896,3.2999999523162842,,178970,140765,38205,,5528,1.0099999904632568,0.80000001192092896,0.2199999988079071,313,59.259998321533203,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-22,1009,1048042,59.402999877929688,5.7000000029802322E-2,4932,0.2800000011920929,0.30000001192092896,3.2999999523162842,,,,,,5632,,,,319,57.409999847412109,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-23,2325,1050367,59.534000396728516,0.13199999928474426,5010,0.28400000929832458,0.3059999942779541,3.2999999523162842,,182261,143614,38647,,4968,1.0299999713897705,0.81000000238418579,0.2199999988079071,282,57.409999847412109,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-24,8040,1058407,59.990001678466797,0.45600000023841858,4920,0.27900001406669617,0.32499998807907104,3.0999999046325684,,191179,152526,38653,8918,5342,1.0800000429153442,0.86000001430511475,0.2199999988079071,303,57.409999847412109,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
ECU,South America,Ecuador,2021-03-25,5023,1063430,60.275001525878906,0.28499999642372131,4774,0.27099999785423279,0.335999995470047,3,,,,,,7271,,,,412,57.409999847412109,66.939002990722656,28.100000381469727,7.1040000915527344,4.4580001831054688,10581.935546875,3.5999999046325684,140.447998046875,5.5500001907348633,2,12.300000190734863,80.635002136230469,1.5,77.010002136230469,0.75900000333786011
